GENE,n
NFKB1,107
RPS6KA3,107
ASXL1,106
CYP17A1,106
SCN4A,106
TUBA1A,106
G6PD,105
LAMC2,105
TERT,105
CEP152,104
DNAI1,104
ESCO2,104
KMT2C,104
CDKN1B,103
CRX,103
EFTUD2,103
MYO18B,103
BCKDHA,102
GBE1,102
GFM1,102
HGSNAT,102
KDM5C,102
MBD4,102
MKS1,102
PRF1,102
SLC4A11,102
SLC6A1,102
SMCHD1,102
ABCB4,101
KIF1A,101
CTC1,100
KIAA0586,100
TSPAN1,100
CNGB1,99
NPRL3,99
PANK2,99
PRKAR1A,99
SALL1,99
SKIC2,99
OFD1,98
P3H1,98
SAMHD1,98
TTR,98
TULP1,98
ALDH3A2,97
CSPP1,97
LIFR,97
MCCC2,97
TUBGCP6,97
ASNS,96
NKX2-5,96
TMEM127,96
FAH,95
LPL,95
MFSD8,95
ALDH5A1,94
HPS5,94
HSD17B4,94
IMPG2,94
SPTA1,94
USH1C,94
WT1,94
ACSF3,93
ATP1A3,93
LIG4,93
NALCN,93
NGLY1,93
NOTCH1,93
NPHP4,93
NR2E3,93
OCRL,93
PEX12,93
PHIP,93
PSEN1,93
SPINK5,93
DNAH9,92
GLE1,92
HLCS,92
NAA15,92
PDE6A,92
CUBN,91
F11,91
FGFR2,91
PEX10,91
SETBP1,91
TCF12,91
UNC80,91
ASPA,90
ATR,90
BRAF,90
DBT,90
JAK3,90
PNKP,90
PPT1,90
SELENON,90
SGCA,90
EMD,89
GNPTG,89
IFT172,89
POMT2,89
TRIO,89
WNT10A,89
BBS7,88
CLN5,88
FREM2,88
GALK1,88
INVS,88
MTTP,88
SLC12A6,88
SOX9,88
ARG1,87
ARID1A,87
SERPINC1,87
TFR2,87
TTC21B,87
CCM2,86
MBD5,86
ADA,85
BBS4,85
DLG4,85
OAT,85
ABCA3,84
AMT,84
CEP250,84
COMP,84
CPT1A,84
DCLRE1C,84
GAMT,84
GATAD2B,84
KMT2B,84
MITF,84
MPDZ,84
WAC,84
ADGRG1,83
BBS9,83
COL27A1,83
FKTN,83
GPR143,83
MERTK,83
SUMF1,83
ATP8B1,82
FLNB,82
HPRT1,82
IVD,82
MCM3AP,82
NKX2-1,82
SLC7A7,82
ACAD9,81
ERCC8,81
GRHPR,81
IRF6,81
ITGB4,81
MKKS,81
SLC45A2,81
SUFU,81
ALS2,80
BCOR,80
CEP164,80
DOCK8,80
DOK7,80
EPHB4,80
FHL1,80
FIG4,80
GCH1,80
KANSL1,80
LAMA1,80
MMAA,80
MTRR,80
PC,80
PDZD7,80
SLC39A4,80
SOX2,80
SRD5A2,80
TBC1D24,80
FAS,79
NPHP1,79
NPHS2,79
SI,79
SOD1,79
COL18A1,78
HPS6,78
KMT2E,78
MEF2C,78
PLP1,78
SGCB,78
TGFB2,78
ALG6,77
ATP6V1B1,77
CCDC40,77
CLCN5,77
SMARCB1,77
TP63,77
TRMU,77
BRAT1,76
CUL7,76
CYP11B2,76
LIPA,76
MYH2,76
PNPLA6,76
DOCK7,75
KIT,75
NR5A1,75
PHKB,75
POLR3A,75
PROS1,75
SLC12A1,75
TH,75
WDR19,75
ADAR,74
ASAH1,74
CD40LG,74
DNAI2,74
GABRG2,74
MANBA,74
POU3F4,74
SLC16A2,74
SLC19A1,74
SLC3A1,74
TECTA,74
TTLL5,74
ATRX,73
DDX41,73
GATA3,73
PHKA2,73
RAPSN,73
TRNT1,73
USP9X,73
ALG1,72
AVPR2,72
CACNA1S,72
CLN6,72
CYP1B1,72
CYP21A2,72
DES,72
OTOG,72
TECPR2,72
AAAS,71
ADAMTS13,71
ATP1A2,71
EIF2B5,71
F5,71
MAK,71
MVK,71
MYO5B,71
PIK3CA,71
SIN3A,71
SLC17A5,71
TPO,71
BCS1L,70
CDHR1,70
CLTC,70
DNAH1,70
HNF4A,70
KIF7,70
PDE6C,70
SLC26A3,70
TGFBR2,70
TRPM1,70
DSG2,69
PAX2,69
PIEZO2,69
TMPRSS3,69
TNFAIP3,69
TRIOBP,69
TYRP1,69
XPA,69
CSNK2B,68
CUL3,68
CYP7B1,68
EGFR,68
GDAP1,68
HOGA1,68
MCOLN1,68
SDHC,68
ASH1L,67
CNTNAP2,67
COLQ,67
CTSC,67
CYP27B1,67
CYP4V2,67
HSPG2,67
ITGB2,67
KRT5,67
PCLO,67
PHGDH,67
PIGG,67
PMP22,67
POR,67
TBCK,67
TNXB,67
TWIST1,67
ANOS1,66
ARID2,66
GRIN1,66
GUSB,66
LAMC3,66
MMAB,66
MTR,66
PDCD10,66
PIGO,66
SPEN,66
TRIP12,66
WDR62,66
BUB1B,65
MME,65
MYH3,65
PRX,65
RPL5,65
AFG2A,64
ALDOB,64
BRPF1,64
CCDC88C,64
CTSK,64
FANCL,64
PHOX2B,64
RELN,64
TSHR,64
ADAMTS2,63
AUTS2,63
CIITA,63
COL12A1,63
DDC,63
PTS,63
RAG2,63
SETX,63
SGCG,63
SHH,63
SPTAN1,63
STXBP2,63
TBK1,63
CAD,62
CNGA1,62
CYLD,62
DSC2,62
FZD4,62
MPI,62
NOTCH2,62
PEX7,62
TK2,62
TRIP11,62
TSEN54,62
WWOX,62
CPAP,61
EBF3,61
EMC1,61
GNS,61
LARP7,61
PLOD1,61
PROC,61
SEC23B,61
SETD1B,61
SLC20A2,61
STAR,61
TBCD,61
ABCC9,60
ACTB,60
ADA2,60
C2CD3,60
CCN6,60
COQ8A,60
FUCA1,60
KCNB1,60
LAMB2,60
NDUFAF5,60
NHS,60
PKLR,60
REEP1,60
SUOX,60
DEAF1,59
ENPP1,59
FECH,59
GNAO1,59
LTBP3,59
MLC1,59
MYT1L,59
OTOGL,59
RAB3GAP1,59
RANBP2,59
SMARCA2,59
AARS1,58
AGA,58
DIS3L2,58
IL12RB1,58
IQCB1,58
NEK1,58
NR2F1,58
PEX2,58
PITX2,58
PLEKHG5,58
PUF60,58
SLC19A3,58
TTC7A,58
ANO10,57
CHAT,57
COL9A1,57
CTSA,57
DOCK6,57
GATA1,57
HBA2,57
KCNV2,57
MYO6,57
SEPSECS,57
XIAP,57
ACO2,56
CFI,56
CLN8,56
HMGCL,56
KRAS,56
MLYCD,56
RPS19,56
TAB2,56
TGFBR1,56
TRIM37,56
ZNF462,56
APRT,55
ATP13A2,55
BCL11A,55
CARMIL2,55
CLRN1,55
HJV,55
LRP6,55
MPV17,55
NPR2,55
NUS1,55
SMN1,55
STAT3,55
TCN2,55
TJP2,55
TSPEAR,55
UGT1A,55
VRK1,55
ZMYM2,55
CAMTA1,54
CEP78,54
FGD1,54
HADHB,54
IKBKG,54
LEMD3,54
MFRP,54
MOCS1,54
OTOA,54
SBF2,54
SERPINA1,54
SOX5,54
STAT1,54
TAFAZZIN,54
TRAPPC9,54
TTPA,54
WNK1,54
AIPL1,53
EIF2AK4,53
ELAC2,53
ELANE,53
EYA4,53
HIVEP2,53
KRT14,53
NEU1,53
SLC34A3,53
AIP,52
CACNA2D2,52
CASQ2,52
CLCNKB,52
CRTAP,52
DLD,52
EBP,52
EIF2AK3,52
FMO3,52
KIF5A,52
NAGS,52
NDP,52
PGM3,52
SLC25A38,52
SPAG1,52
TLK2,52
VPS13C,52
DYNC1H1,51
FKBP10,51
FOXN1,51
GLRA1,51
HSD3B2,51
IMPG1,51
IRF2BPL,51
MTO1,51
SLC25A15,51
SRCAP,51
TGFB3,51
TREX1,51
ANK2,50
ATL1,50
CD46,50
CYP19A1,50
DGUOK,50
GFAP,50
IFT122,50
MAGEL2,50
NCF2,50
PEX5,50
SYN1,50
THRB,50
TONSL,50
ZMYND11,50
ADSL,49
ASTN2,49
CDK13,49
CHD3,49
FGFR3,49
ITPR1,49
PFKM,49
PSAP,49
SLC19A2,49
TMPRSS15,49
ABCA1,48
ATP2A1,48
CDK5RAP2,48
CYBA,48
DMXL2,48
ERCC3,48
F7,48
FAT4,48
GABRB3,48
GLI2,48
KDM6B,48
LTBP2,48
LTBP4,48
MYLK,48
MYPN,48
PIEZO1,48
SLC25A20,48
SMARCE1,48
UBE3B,48
USH1G,48
ACADS,47
CLCN7,47
CSF1R,47
ETHE1,47
FANCE,47
FOXF1,47
GHR,47
GRM6,47
LRSAM1,47
PARN,47
PEPD,47
QRICH1,47
RTTN,47
STRC,47
TWNK,47
ALOXE3,46
BBS5,46
CACNA1C,46
CHRNG,46
COG5,46
CR2,46
EFNB1,46
GALNT3,46
HDAC8,46
IL7R,46
MCPH1,46
MED17,46
PPOX,46
PRR12,46
SMAD6,46
TBCE,46
TBL1XR1,46
ZBTB20,46
ACOX1,45
ADAMTS18,45
CSNK2A1,45
CTCF,45
DARS2,45
DGKE,45
FBN2,45
GPC3,45
INPP5E,45
KCNJ2,45
LDLRAP1,45
NRXN1,45
ODAD2,45
PAX9,45
PRPF8,45
PYGL,45
QARS1,45
SETD2,45
SLC38A8,45
TSFM,45
ABCG5,44
AP3B1,44
ATP2A2,44
ATP6V0A2,44
ATP6V0A4,44
DNAAF1,44
FBXL4,44
FRMD7,44
GDF5,44
HBA1,44
LGI1,44
MID1,44
NSD2,44
RXYLT1,44
SPATA7,44
TRAPPC11,44
ADAMTS17,43
AP4B1,43
CEBPA,43
CNOT3,43
DLL1,43
FA2H,43
HPS4,43
OTX2,43
POLH,43
SLC9A6,43
SRRM2,43
TNNI3,43
TRPV4,43
ZNF292,43
C6,42
CRPPA,42
CYP4F22,42
DYNC2I2,42
FLVCR1,42
GREB1L,42
IFT80,42
KCNT1,42
MESP2,42
PIK3R1,42
QDPR,42
RAD21,42
RSPH4A,42
SALL4,42
SDCCAG8,42
TCTN2,42
TCTN3,42
VPS13D,42
WDR26,42
AGRN,41
CTLA4,41
ERCC4,41
FBP1,41
G6PC3,41
GORAB,41
HSD17B3,41
INSR,41
LMOD3,41
MMADHC,41
OPHN1,41
PHKG2,41
PRKN,41
PROP1,41
SLC6A5,41
SLC7A9,41
SLCO2A1,41
TNRC6B,41
WDR35,41
C7,40
C9,40
CAPN1,40
COL4A2,40
COL9A2,40
COL9A3,40
CYP24A1,40
DGAT1,40
DLL3,40
DNAAF2,40
ERCC5,40
FBXO7,40
FGD4,40
GAN,40
GGCX,40
HAX1,40
ITGA7,40
KCNJ1,40
KDM5B,40
MUSK,40
MYCN,40
NEFL,40
OPTN,40
P3H2,40
PREPL,40
RLBP1,40
SLC2A2,40
SQSTM1,40
ST3GAL5,40
TBX1,40
WHRN,40
ABCG8,39
AQP2,39
ATP2C1,39
BPTF,39
BSCL2,39
EPM2A,39
ERCC6L2,39
FOXC2,39
FOXP2,39
GABRA1,39
GJC2,39
GNB1,39
